,City ID,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country
87,2137773,Vao,-22.67,167.48,75.4,78,0,13.78,NC
88,2249281,Linguère,15.4,-15.12,68.0,49,0,2.24,SN
89,6071876,Melfort,52.87,-104.62,19.4,85,100,3.36,CA
90,5877641,Wasilla,61.58,-149.44,19.4,84,1,0.78,US
91,2644210,Liverpool,53.41,-2.98,51.8,93,94,28.86,GB
92,3670242,San Alberto,7.76,-73.39,76.41,78,98,2.73,CO
93,2441447,Maïné Soroa,13.21,12.02,69.8,30,0,10.31,NE
94,1264976,Leh,34.17,77.58,28.65,76,43,6.13,IN
95,1505526,Irbit,57.67,63.07,7.45,92,0,3.22,RU
96,3572462,Dunmore Town,25.5,-76.65,78.4,76,0,12.82,BS
97,4032243,Vaini,-21.2,-175.2,78.8,83,75,5.82,TO
98,3401148,Cururupu,-1.83,-44.87,77.7,88,55,4.63,BR
99,1524606,Derzhavīnsk,51.1,66.32,11.26,95,98,11.36,KZ
100,2167426,Emerald,-23.53,148.17,100.99,19,0,10.29,AU
101,2084442,Vanimo,-2.67,141.3,86.65,66,62,8.79,PG
102,3939761,Hualmay,-11.1,-77.61,62.65,84,95,8.68,PE
103,2100933,Ambunti,-4.24,142.84,92.1,52,97,3.27,PG
104,1262672,Mūdbidri,13.08,74.98,84.2,66,40,9.17,IN
105,2165478,Gladstone,-23.85,151.25,82.4,58,2,12.75,AU
106,5882953,Aklavik,68.22,-135.01,14.0,78,100,14.99,CA
107,2134814,Sola,-13.88,167.55,87.8,70,75,9.17,VU
108,118704,Rāvar,31.27,56.81,48.47,48,4,1.97,IR
109,1056899,Sambava,-14.27,50.17,75.67,76,19,13.69,MG
110,4031637,Lavrentiya,65.58,-171.0,31.86,96,100,25.43,RU
111,6165406,Thompson,55.74,-97.86,-5.8,76,5,5.82,CA
112,2180815,Tuatapere,-46.13,167.68,59.0,77,12,18.99,NZ
113,2126199,Cherskiy,68.75,161.3,1.56,93,100,7.07,RU
114,2155415,New Norfolk,-42.78,147.06,66.0,43,57,15.01,AU
115,2177069,Ballina,-28.87,153.57,91.99,74,0,19.46,AU
116,777019,Vardø,70.37,31.11,41.0,86,75,19.46,NO
117,935215,Saint-Philippe,-21.36,55.77,73.4,46,75,6.93,RE
118,3893629,Coquimbo,-29.95,-71.34,55.4,82,49,4.7,CL
119,2890328,Kirchzarten,47.97,7.95,51.01,76,83,1.99,DE
120,3901501,Villazón,-22.09,-65.59,51.6,68,0,7.63,BO
121,1496073,Orlik,52.52,99.83,23.7,85,100,1.59,RU
122,2123814,Leningradskiy,69.38,178.42,24.12,91,89,7.52,RU
123,5367788,Lompoc,34.64,-120.46,69.8,71,1,6.89,US
124,5866583,Saint Paul Harbor,57.79,-152.41,35.6,55,1,12.75,US
125,1735902,Sibu,2.3,111.82,86.0,74,20,3.36,MY
126,1254709,Tezu,27.92,96.17,81.01,31,0,3.06,IN
127,3471451,Arraial do Cabo,-22.97,-42.03,73.62,94,83,10.78,BR
128,3361934,Saldanha,-33.01,17.94,55.4,82,100,8.05,ZA
129,2126123,Chokurdakh,70.63,147.92,-21.35,89,72,2.84,RU
130,158514,Kaliua,-5.06,31.79,64.58,87,97,2.24,TZ
131,3421719,Narsaq,60.92,-46.05,14.0,56,0,2.24,GL
132,921786,Mitsamiouli,-11.38,43.28,78.96,70,0,5.46,KM
133,3929493,San Juan Bautista,-14.01,-75.74,64.4,82,0,11.41,PE
134,1853237,Saiki,32.95,131.9,68.0,77,75,5.82,JP
135,5117949,Freeport,40.66,-73.58,55.4,76,90,9.17,US
136,895057,Binga,-17.62,27.34,75.54,69,91,3.0,ZW
137,1106677,Bambous Virieux,-20.34,57.76,75.99,56,40,10.29,MU
138,3127460,Burgos,42.34,-3.71,48.2,93,90,4.7,ES
139,3894426,Coyhaique,-45.58,-72.07,48.2,76,20,3.36,CL
140,5855927,Hilo,19.73,-155.09,77.0,78,40,3.36,US
141,3129877,Aranda de Duero,41.67,-3.69,53.82,90,100,8.57,ES
142,108410,Riyadh,24.69,46.72,66.2,55,0,4.7,SA
143,5404476,Ukiah,39.15,-123.21,55.4,93,90,1.32,US
144,2281120,Tabou,4.42,-7.35,78.48,84,1,7.85,CI
145,6185377,Yellowknife,62.46,-114.35,1.4,84,40,4.7,CA
146,686090,Asău,46.43,26.4,37.0,91,6,3.38,RO
147,1524302,Ereymentau,51.62,73.1,18.37,97,100,5.75,KZ
